source	target	interaction	weight
DARS2	CARS2	interacts_with	0.743
DARS2	CTPS1	interacts_with	0.729
DARS2	HARS2	interacts_with	0.857
DARS2	RARS1	interacts_with	0.728
DARS2	FDXR	interacts_with	0.708
DARS2	AARS1	interacts_with	0.907
DARS2	PARS2	interacts_with	0.872
DARS2	LARS2	interacts_with	0.876
DARS2	WARS2	interacts_with	0.766
DARS2	YARS2	interacts_with	0.881
DARS2	HARS1	interacts_with	0.856
DARS2	TTC5	interacts_with	0.705
DARS2	GMPS	interacts_with	0.912
DARS2	EARS2	interacts_with	0.929
DARS2	NARS2	interacts_with	0.749
DARS2	EIF2AK4	interacts_with	0.826
DARS2	YARS1	interacts_with	0.898
DARS2	EPRS1	interacts_with	0.971
DARS2	CTPS2	interacts_with	0.734
DARS2	IARS1	interacts_with	0.807
DARS2	MARS2	interacts_with	0.79
DARS2	RARS2	interacts_with	0.888
DARS2	FAAH2	interacts_with	0.9
DARS2	FADS6	interacts_with	0.705
DARS2	VARS2	interacts_with	0.916
DARS2	KARS1	interacts_with	0.807
DARS2	FAAH	interacts_with	0.9
DARS2	FARS2	interacts_with	0.87
DARS2	CDC23	interacts_with	0.79
DARS2	VARS1	interacts_with	0.953
DARS2	TACO1	interacts_with	0.777
DARS2	QRSL1	interacts_with	0.935
DARS2	TARS2	interacts_with	0.777
DARS2	AARS2	interacts_with	0.955
DARS2	DARS1	interacts_with	0.96
DARS2	QARS1	interacts_with	0.784
DARS2	NDC1	interacts_with	0.766
DARS2	IARS2	interacts_with	0.895
DARS2	EIF2AK1	interacts_with	0.802
DARS2	GATB	interacts_with	0.999
RC3H1	UPF1	interacts_with	0.829
RC3H1	CNOT6L	interacts_with	0.724
RC3H1	RC3H2	interacts_with	0.819
RC3H1	CNOT7	interacts_with	0.858
RC3H1	CNOT9	interacts_with	0.859
RC3H1	NUFIP2	interacts_with	0.881
RC3H1	AGO2	interacts_with	0.791
RC3H1	CNOT11	interacts_with	0.809
RC3H1	HELZ	interacts_with	0.751
RC3H1	CNOT1	interacts_with	0.935
RC3H1	CNOT10	interacts_with	0.733
RC3H1	ICOS	interacts_with	0.894
RC3H1	ZC3H12A	interacts_with	0.771
RC3H1	CNOT2	interacts_with	0.853
RC3H1	CNOT3	interacts_with	0.847
TNFSF4	ICOS	interacts_with	0.942
TNFSF4	BANK1	interacts_with	0.706
TNFSF4	LAG3	interacts_with	0.713
TNFSF4	LOC102723996	interacts_with	0.904
TNFSF4	CD27	interacts_with	0.986
TNFSF4	TNFSF8	interacts_with	0.842
TNFSF4	TNFRSF14	interacts_with	0.733
TNFSF4	IL6	interacts_with	0.703
TNFSF4	TNFRSF4	interacts_with	0.999
TNFSF4	PXK	interacts_with	0.735
TNFSF4	CD28	interacts_with	0.981
TNFSF4	TSLP	interacts_with	0.817
TNFSF4	CD40	interacts_with	0.873
TNFSF4	TNFRSF9	interacts_with	0.993
TNFSF4	TNFSF18	interacts_with	0.88
TNFSF4	TNFRSF18	interacts_with	0.774
TNFSF4	CD80	interacts_with	0.73
TNFSF4	CD4	interacts_with	0.721
TNFSF4	CD70	interacts_with	0.843
TNFSF4	CD86	interacts_with	0.722
TNFSF4	TNFRSF1A	interacts_with	0.7
TNFSF4	CD276	interacts_with	0.813
TNFSF4	TNFRSF8	interacts_with	0.897
TNFSF4	CTLA4	interacts_with	0.812
