source	target	interaction	weight
DARS2	AARS1	interacts_with	0.907
DARS2	EPRS1	interacts_with	0.971
DARS2	GATB	interacts_with	0.999
RC3H1	UPF1	interacts_with	0.829
RC3H1	CNOT6L	interacts_with	0.724
RC3H1	RC3H2	interacts_with	0.819
RC3H1	CNOT7	interacts_with	0.858
RC3H1	CNOT9	interacts_with	0.859
RC3H1	NUFIP2	interacts_with	0.881
RC3H1	AGO2	interacts_with	0.791
RC3H1	CNOT11	interacts_with	0.809
RC3H1	HELZ	interacts_with	0.751
RC3H1	CNOT1	interacts_with	0.935
RC3H1	CNOT10	interacts_with	0.733
RC3H1	ICOS	interacts_with	0.894
RC3H1	ZC3H12A	interacts_with	0.771
RC3H1	CNOT2	interacts_with	0.853
RC3H1	CNOT3	interacts_with	0.847
TNFSF4	ICOS	interacts_with	0.942
TNFSF4	LOC102723996	interacts_with	0.904
TNFSF4	CD27	interacts_with	0.986
TNFSF4	IL6	interacts_with	0.703
TNFSF4	TNFRSF4	interacts_with	0.999
TNFSF4	CD28	interacts_with	0.981
TNFSF4	CD40	interacts_with	0.873
TNFSF4	TNFRSF9	interacts_with	0.993
TNFSF4	CD4	interacts_with	0.721
TNFSF4	TNFRSF1A	interacts_with	0.7
TNFSF4	CTLA4	interacts_with	0.812
TNFSF4	IL10	interacts_with	0.757
TNFSF4	TNFSF9	interacts_with	0.907
TNFSF4	CD40LG	interacts_with	0.958
TNFSF4	TNF	interacts_with	0.754
ANKRD45	SLC9C2	interacts_with	0.768
ANKRD45	HYOU1	interacts_with	0.905
ANKRD45	HSP90B1	interacts_with	0.892
PRDX6	GPX6	interacts_with	0.966
PRDX6	GPX2	interacts_with	0.967
PRDX6	GPX5	interacts_with	0.967
PRDX6	GPX8	interacts_with	0.971
PRDX6	SSU72	interacts_with	0.803
PRDX6	GSR	interacts_with	0.964
PRDX6	HSPA8	interacts_with	0.746
PRDX6	GPX7	interacts_with	0.97
PRDX6	GPX3	interacts_with	0.967
SERPINC1	VWF	interacts_with	0.86
BTN2A2	PLIN2	interacts_with	0.959
BTN2A2	MFGE8	interacts_with	0.795
BTN2A2	XDH	interacts_with	0.988
TRIM38	TRIM56	interacts_with	0.746
TRIM38	TAB2	interacts_with	0.767
ABT1	UTP6	interacts_with	0.98
ABT1	ESF1	interacts_with	0.995
ABT1	BYSL	interacts_with	0.991
ABT1	NGDN	interacts_with	0.941
ABT1	KRR1	interacts_with	0.988
ABT1	DHX15	interacts_with	0.984
ABT1	PDCD11	interacts_with	0.727
ABT1	DDX49	interacts_with	0.998
ABT1	DDX10	interacts_with	0.992
ABT1	NOP14	interacts_with	0.983
ABT1	UTP18	interacts_with	0.978
ABT1	WDR3	interacts_with	0.973
ABT1	UTP25	interacts_with	0.989
OLFM4	ASCL2	interacts_with	0.775
OLFM4	LGR5	interacts_with	0.816
OLFM4	NDUFA13	interacts_with	0.753
OLFM4	CEACAM8	interacts_with	0.754
OLFM4	MMP8	interacts_with	0.858
OLFM4	CHGA	interacts_with	0.711
OLFM4	LTF	interacts_with	0.812
OLFM4	CDH17	interacts_with	0.826
OLFM4	DEFA4	interacts_with	0.737
OLFM4	LCN2	interacts_with	0.856
CSE1L	KPNA2	interacts_with	0.961
CSE1L	XPO1	interacts_with	0.976
CSE1L	XPOT	interacts_with	0.886
CSE1L	XPO4	interacts_with	0.908
CSE1L	NUP50	interacts_with	0.871
CSE1L	RANBP2	interacts_with	0.78
CSE1L	KPNA1	interacts_with	0.996
CSE1L	TNPO1	interacts_with	0.824
CSE1L	IPO5	interacts_with	0.814
CSE1L	RAN	interacts_with	0.956
CSE1L	RANGAP1	interacts_with	0.878
CSE1L	KPNB1	interacts_with	0.868
CSE1L	KPNA4	interacts_with	0.99
CSE1L	KPNA3	interacts_with	0.98
CSE1L	XPO5	interacts_with	0.766
ARFGEF2	ERMARD	interacts_with	0.729
ARFGEF2	FLNA	interacts_with	0.885
ARFGEF2	ARFGEF1	interacts_with	0.83
ARFGEF2	PPP1CC	interacts_with	0.741
STAU1	UPF1	interacts_with	0.987
STAU1	PABPC1	interacts_with	0.88
STAU1	RPS6	interacts_with	0.826
STAU1	YBX1	interacts_with	0.876
STAU1	ELAVL1	interacts_with	0.854
STAU1	IQGAP1	interacts_with	0.779
STAU1	DHX9	interacts_with	0.82
STAU1	NCL	interacts_with	0.823
STAU1	EIF4A3	interacts_with	0.762
STAU1	DICER1	interacts_with	0.8
STAU1	FMR1	interacts_with	0.966
AARS1	EPRS1	interacts_with	0.976
AARS1	GATB	interacts_with	0.832
AARS1	HYOU1	interacts_with	0.709
EPRS1	GATB	interacts_with	0.979
EPRS1	PDCD11	interacts_with	0.75
EPRS1	RPS6	interacts_with	0.911
UPF1	AGO2	interacts_with	0.949
UPF1	ZC3H12A	interacts_with	0.73
UPF1	PABPC1	interacts_with	0.996
UPF1	RPS6	interacts_with	0.736
UPF1	YBX1	interacts_with	0.736
UPF1	ELAVL1	interacts_with	0.772
UPF1	EIF4A3	interacts_with	0.999
UPF1	DICER1	interacts_with	0.759
CNOT6L	CNOT7	interacts_with	0.999
CNOT6L	CNOT9	interacts_with	0.999
CNOT6L	CNOT11	interacts_with	0.997
CNOT6L	CNOT1	interacts_with	0.999
CNOT6L	CNOT10	interacts_with	0.998
CNOT6L	CNOT2	interacts_with	0.999
CNOT6L	CNOT3	interacts_with	0.999
CNOT6L	PABPC1	interacts_with	0.793
RC3H2	CNOT7	interacts_with	0.729
RC3H2	CNOT9	interacts_with	0.716
RC3H2	NUFIP2	interacts_with	0.775
RC3H2	AGO2	interacts_with	0.76
RC3H2	HELZ	interacts_with	0.788
RC3H2	CNOT1	interacts_with	0.777
RC3H2	CNOT2	interacts_with	0.746
CNOT7	CNOT9	interacts_with	0.999
CNOT7	AGO2	interacts_with	0.75
CNOT7	CNOT11	interacts_with	0.997
CNOT7	CNOT1	interacts_with	0.999
CNOT7	CNOT10	interacts_with	0.999
CNOT7	CNOT2	interacts_with	0.999
CNOT7	CNOT3	interacts_with	0.999
CNOT7	PABPC1	interacts_with	0.839
CNOT9	CNOT11	interacts_with	0.999
CNOT9	CNOT1	interacts_with	0.999
CNOT9	CNOT10	interacts_with	0.999
CNOT9	CNOT2	interacts_with	0.999
CNOT9	CNOT3	interacts_with	0.999
CNOT9	PABPC1	interacts_with	0.71
NUFIP2	DHX9	interacts_with	0.828
NUFIP2	FMR1	interacts_with	0.993
AGO2	CNOT1	interacts_with	0.892
AGO2	TNF	interacts_with	0.709
AGO2	HSPA8	interacts_with	0.757
AGO2	XPO1	interacts_with	0.767
AGO2	XPO5	interacts_with	0.99
AGO2	PABPC1	interacts_with	0.919
AGO2	YBX1	interacts_with	0.91
AGO2	ELAVL1	interacts_with	0.997
AGO2	DHX9	interacts_with	0.999
AGO2	EIF4A3	interacts_with	0.739
AGO2	DICER1	interacts_with	0.999
AGO2	FMR1	interacts_with	0.998
CNOT11	CNOT1	interacts_with	0.999
CNOT11	CNOT10	interacts_with	0.999
CNOT11	CNOT2	interacts_with	0.999
CNOT11	CNOT3	interacts_with	0.999
HELZ	CNOT1	interacts_with	0.831
CNOT1	CNOT10	interacts_with	0.999
CNOT1	CNOT2	interacts_with	0.999
CNOT1	CNOT3	interacts_with	0.999
CNOT1	PABPC1	interacts_with	0.893
CNOT10	CNOT2	interacts_with	0.999
CNOT10	CNOT3	interacts_with	0.999
ICOS	LOC102723996	interacts_with	0.999
ICOS	CD27	interacts_with	0.833
ICOS	TNFRSF4	interacts_with	0.921
ICOS	CD28	interacts_with	0.979
ICOS	CD40	interacts_with	0.987
ICOS	TNFRSF9	interacts_with	0.914
ICOS	CD4	interacts_with	0.929
ICOS	CTLA4	interacts_with	0.998
ICOS	IL10	interacts_with	0.847
ICOS	TNFSF9	interacts_with	0.893
ICOS	CD40LG	interacts_with	0.999
ICOS	TNF	interacts_with	0.86
ZC3H12A	IL6	interacts_with	0.825
CNOT2	CNOT3	interacts_with	0.999
CNOT3	PABPC1	interacts_with	0.792
LOC102723996	CD27	interacts_with	0.963
LOC102723996	TNFRSF4	interacts_with	0.992
LOC102723996	CD28	interacts_with	0.999
LOC102723996	CD40	interacts_with	0.976
LOC102723996	TNFRSF9	interacts_with	0.929
LOC102723996	CD4	interacts_with	0.717
LOC102723996	CTLA4	interacts_with	0.999
LOC102723996	IL10	interacts_with	0.843
LOC102723996	TNFSF9	interacts_with	0.873
LOC102723996	CD40LG	interacts_with	0.989
CD27	TNFRSF4	interacts_with	0.934
CD27	CD28	interacts_with	0.898
CD27	CD40	interacts_with	0.921
CD27	TNFRSF9	interacts_with	0.916
CD27	CD4	interacts_with	0.931
CD27	TNFRSF1A	interacts_with	0.715
CD27	CTLA4	interacts_with	0.781
CD27	IL10	interacts_with	0.711
CD27	TNFSF9	interacts_with	0.983
CD27	CD40LG	interacts_with	0.934
CD27	TNF	interacts_with	0.725
IL6	TNFRSF4	interacts_with	0.703
IL6	CD28	interacts_with	0.79
IL6	CD40	interacts_with	0.891
IL6	CD4	interacts_with	0.966
IL6	TNFRSF1A	interacts_with	0.997
IL6	CTLA4	interacts_with	0.815
IL6	IL10	interacts_with	0.997
IL6	CD40LG	interacts_with	0.795
IL6	TNF	interacts_with	0.994
IL6	GPX6	interacts_with	0.732
IL6	GPX2	interacts_with	0.748
IL6	GPX5	interacts_with	0.732
IL6	GPX8	interacts_with	0.749
IL6	GPX7	interacts_with	0.75
IL6	GPX3	interacts_with	0.733
IL6	VWF	interacts_with	0.716
IL6	LCN2	interacts_with	0.885
TNFRSF4	CD28	interacts_with	0.934
TNFRSF4	CD40	interacts_with	0.942
TNFRSF4	TNFRSF9	interacts_with	0.881
TNFRSF4	CD4	interacts_with	0.872
TNFRSF4	TNFRSF1A	interacts_with	0.802
TNFRSF4	CTLA4	interacts_with	0.907
TNFRSF4	TNFSF9	interacts_with	0.997
TNFRSF4	CD40LG	interacts_with	0.938
TNFRSF4	TNF	interacts_with	0.797
CD28	CD40	interacts_with	0.997
CD28	TNFRSF9	interacts_with	0.93
CD28	CD4	interacts_with	0.971
CD28	CTLA4	interacts_with	0.991
CD28	IL10	interacts_with	0.922
CD28	TNFSF9	interacts_with	0.992
CD28	CD40LG	interacts_with	0.998
CD28	TNF	interacts_with	0.875
CD40	TNFRSF9	interacts_with	0.913
CD40	CD4	interacts_with	0.924
CD40	TNFRSF1A	interacts_with	0.919
CD40	CTLA4	interacts_with	0.973
CD40	IL10	interacts_with	0.901
CD40	TNFSF9	interacts_with	0.783
CD40	CD40LG	interacts_with	0.999
CD40	TNF	interacts_with	0.992
TNFRSF9	CD4	interacts_with	0.851
TNFRSF9	TNFRSF1A	interacts_with	0.823
TNFRSF9	CTLA4	interacts_with	0.837
TNFRSF9	TNFSF9	interacts_with	0.999
TNFRSF9	CD40LG	interacts_with	0.909
TNFRSF9	TNF	interacts_with	0.816
CD4	TNFRSF1A	interacts_with	0.797
CD4	CTLA4	interacts_with	0.955
CD4	IL10	interacts_with	0.976
CD4	CD40LG	interacts_with	0.983
CD4	TNF	interacts_with	0.968
TNFRSF1A	IL10	interacts_with	0.968
TNFRSF1A	TNFSF9	interacts_with	0.714
TNFRSF1A	CD40LG	interacts_with	0.824
TNFRSF1A	TNF	interacts_with	0.999
TNFRSF1A	TAB2	interacts_with	0.998
CTLA4	IL10	interacts_with	0.922
CTLA4	CD40LG	interacts_with	0.856
CTLA4	TNF	interacts_with	0.873
CTLA4	LCN2	interacts_with	0.988
IL10	CD40LG	interacts_with	0.876
IL10	TNF	interacts_with	0.992
IL10	LTF	interacts_with	0.716
IL10	LCN2	interacts_with	0.833
TNFSF9	CD40LG	interacts_with	0.859
TNFSF9	TNF	interacts_with	0.839
CD40LG	TNF	interacts_with	0.942
TNF	GPX6	interacts_with	0.727
TNF	GPX2	interacts_with	0.725
TNF	GPX5	interacts_with	0.728
TNF	GPX8	interacts_with	0.734
TNF	GPX7	interacts_with	0.723
TNF	GPX3	interacts_with	0.727
TNF	VWF	interacts_with	0.789
