RABGAP1L	DARS2	RC3H1	ZBTB37	TNFSF4	ANKRD45	KLHL20	PRDX6	SERPINC1	SLC9C2	BTN2A2	TRIM38	ABT1	OLFM4	CSE1L	ARFGEF2	STAU1	ZNFX1	CARS2	CTPS1	HARS2	RARS1	FDXR	AARS1	PARS2	LARS2	WARS2	YARS2	HARS1	TTC5	GMPS	EARS2	NARS2	EIF2AK4	YARS1	EPRS1	CTPS2	IARS1	MARS2	RARS2	FAAH2	FADS6	VARS2	KARS1	FAAH	FARS2	CDC23	VARS1	TACO1	QRSL1	TARS2	AARS2	DARS1	QARS1	NDC1	IARS2	EIF2AK1	GATB	UPF1	CNOT6L	RC3H2	CNOT7	CNOT9	NUFIP2	AGO2	CNOT11	HELZ	CNOT1	CNOT10	ICOS	ZC3H12A	CNOT2	CNOT3	BANK1	LAG3	LOC102723996	CD27	TNFSF8	TNFRSF14	IL6	TNFRSF4	PXK	CD28	TSLP	CD40	TNFRSF9	TNFSF18	TNFRSF18	CD80	CD4	CD70	CD86	TNFRSF1A	CD276	TNFRSF8	CTLA4	CD274	IL10	TNFSF9	ICOSLG	CD40LG	TNF	PDCD1LG2	HYOU1	HSP90B1	KLHL25	TNFAIP1	CUL3	KLHL21	RBX1	KLHL13	KBTBD8	KEAP1	KLHL40	PDCD6	ENC1	PEF1	DAPK1	KLHL24	KLHL41	NAE1	PML	ASB7	KCTD17	KLHL42	KCTD10	ZSWIM8	GLMN	KLHL2	SPOP	SPOPL	KLHL3	GAN	KLHL9	LZTR1	KLHL8	KCTD13	CORO7	KLHL22	KBTBD6	KLHL7	KLHL12	KBTBD7	TPI1	GSTM3	TXNDC12	HPGDS	PRDX2	GPX4	TXN	GSTA2	MGST1	GPX6	GSTA1	GPX2	GSS	GSTA5	GSTM5	MGST3	PRDX5	GSTM4	GPX5	GSTP1	GGT6	GPX8	GSTM1	GSTT2B	GSTO2	SSU72	PARK7	CHAC1	GSTA3	ENO1	GSR	HSPA8	GGT5	GPI	STH	GGT7	SOD2	GSTA4	GPX7	MGST2	GPX3	GSTM2	GGT1	CHAC2	GSTO1	PROCR	F5	SERPING1	PROS1	APOH	LPA	PLAT	FGB	F13B	F3	AMBP	PF4V1	F12	FGG	ELANE	APOC3	SERPIND1	MTHFR	C9	F11	KNG1	CD44	SERPINF2	PF4	FGA	AGXT	APOA2	AHSG	F7	TFPI	F10	A2M	GP1BA	PLG	CPB2	CRP	KLKB1	THBD	HPX	F2	SERPINA5	GC	VTN	F9	PROC	ALB	VWF	SDC1	F8	HRG	KLK4	APOA1	PLIN2	MFGE8	XDH	TRIM56	TAB2	UTP6	DDX52	DHX32	RRP36	ESF1	UTP14A	BYSL	DDX18	NGDN	KRR1	UTP23	DHX15	KCTD19	DDX47	NOM1	BRIX1	PWP2	FTSJ3	GTF3C1	REXO4	DQX1	PDCD11	DDX49	DDX10	IGHMBP2	EMG1	NOP14	UTP18	WDR3	AATF	UTP25	ASCL2	LGR5	NDUFA13	CEACAM8	MMP8	CHGA	LTF	CDH17	DEFA4	LCN2	KPNA2	KPNA5	KPNA7	XPO6	XPO1	IPO4	XPOT	XPO4	NUP50	RANBP2	EFS	KPNA1	TNPO1	IPO5	KPNA6	ADGRD1	RAN	RANGAP1	TXN2	RANBP1	KPNB1	XPO7	KPNA4	KPNA3	XPO5	ERMARD	FLNA	ARFGEF1	PPP1CC	UPF2	PABPC1	MOV10	ILF3	RPS6	ADAR	TINCR	TIAL1	UPF3B	CPEB1	YBX1	ELAVL1	TARDBP	IQGAP1	STAU2	NKRF	ARF1	HNRNPU	RPLP0	TIA1	DHX9	IGF2BP1	SMG7	SAMD4A	SMG5	NCL	PRKRA	EIF4A3	DICER1	FMR1
RABGAP1L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DARS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.743	0.729	0.857	0.728	0.708	0.907	0.872	0.876	0.766	0.881	0.856	0.705	0.912	0.929	0.749	0.826	0.898	0.971	0.734	0.807	0.79	0.888	0.9	0.705	0.916	0.807	0.9	0.87	0.79	0.953	0.777	0.935	0.777	0.955	0.96	0.784	0.766	0.895	0.802	0.999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RC3H1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.829	0.724	0.819	0.858	0.859	0.881	0.791	0.809	0.751	0.935	0.733	0.894	0.771	0.853	0.847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFSF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.942	0	0	0	0.706	0.713	0.904	0.986	0.842	0.733	0.703	0.999	0.735	0.981	0.817	0.873	0.993	0.88	0.774	0.73	0.721	0.843	0.722	0.7	0.813	0.897	0.812	0.79	0.757	0.907	0.831	0.958	0.754	0.775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD45	0	0	0	0	0	0	0	0	0	0.768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.905	0.892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLHL20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.907	0.919	0.999	0.91	0.986	0.911	0.919	0.909	0.785	0.731	0.913	0.745	0.949	0.753	0.918	0.703	0.841	0.719	0.914	0.924	0.76	0.9	0.725	0.744	0.924	0.916	0.908	0.918	0.924	0.908	0.907	0.919	0.841	0.925	0.908	0.916	0.911	0.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDX6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.743	0.94	0.918	0.942	0.798	0.973	0.818	0.913	0.928	0.966	0.914	0.967	0.915	0.916	0.928	0.914	0.832	0.92	0.967	0.973	0.909	0.971	0.939	0.928	0.933	0.803	0.709	0.901	0.932	0.737	0.964	0.746	0.909	0.707	0.743	0.909	0.703	0.923	0.97	0.911	0.967	0.933	0.909	0.906	0.957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.702	0.817	0.753	0.743	0.944	0.804	0.914	0.954	0.81	0.958	0.936	0.805	0.969	0.921	0.753	0.87	0.837	0.712	0.735	0.969	0.758	0.716	0.788	0.706	0.98	0.704	0.783	0.838	0.909	0.939	0.998	0.927	0.728	0.992	0.766	0.765	0.767	0.912	0.762	0.999	0.721	0.84	0.949	0.999	0.924	0.933	0.86	0.792	0.906	0.898	0.864	0.708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC9C2	0	0	0	0	0	0.768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
